"DateTime","Sales (USD)"
"2021-07-10 00:00:00",2691.4
"2021-07-15 00:00:00",1971.28
"2021-07-18 00:00:00",3727.38
"2021-07-19 00:00:00",24967.72
"2021-07-20 00:00:00",24318.02
"2021-07-21 00:00:00",20651.27
"2021-07-22 00:00:00",12559.02
"2021-07-23 00:00:00",20569.99
"2021-07-24 00:00:00",11733.07
"2021-07-25 00:00:00",16453.75
"2021-07-26 00:00:00",20342.32
"2021-07-27 00:00:00",13427.75
"2021-07-28 00:00:00",9791
"2021-07-29 00:00:00",6415.51
"2021-07-30 00:00:00",5135.28
"2021-07-31 00:00:00",10035.62
"2021-08-01 00:00:00",27863.34
"2021-08-02 00:00:00",19335.24
"2021-08-03 00:00:00",48648.51
"2021-08-04 00:00:00",303686.79
"2021-08-05 00:00:00",237690.51
"2021-08-06 00:00:00",60633.58
"2021-08-07 00:00:00",106370.39
"2021-08-08 00:00:00",67061.79
"2021-08-09 00:00:00",104676.76
"2021-08-10 00:00:00",139139.17
"2021-08-11 00:00:00",155285.61
"2021-08-12 00:00:00",456788.62
"2021-08-13 00:00:00",212424.34
"2021-08-14 00:00:00",101680.99
"2021-08-15 00:00:00",78834.48
"2021-08-16 00:00:00",58075.44
"2021-08-17 00:00:00",91645.46
"2021-08-18 00:00:00",51610.93
"2021-08-19 00:00:00",46229.79
"2021-08-20 00:00:00",73887.22
"2021-08-21 00:00:00",666307.79
"2021-08-22 00:00:00",882578.57
"2021-08-23 00:00:00",973141.56
"2021-08-24 00:00:00",378399.94
"2021-08-25 00:00:00",181250.73
"2021-08-26 00:00:00",167471.51
"2021-08-27 00:00:00",187390.95
"2021-08-28 00:00:00",508621.21
"2021-08-29 00:00:00",240253.77
"2021-08-30 00:00:00",147573.4
"2021-08-31 00:00:00",157468.32
"2021-09-01 00:00:00",255479.03
"2021-09-02 00:00:00",195375.92
"2021-09-03 00:00:00",678436.96
"2021-09-04 00:00:00",1460868.27
"2021-09-05 00:00:00",237369.33
"2021-09-06 00:00:00",204978.94
"2021-09-07 00:00:00",106707.21
"2021-09-08 00:00:00",99569.58
"2021-09-09 00:00:00",40743.01
"2021-09-10 00:00:00",94150.72
"2021-09-11 00:00:00",84798.4
"2021-09-12 00:00:00",37159.68
"2021-09-13 00:00:00",69043.41
"2021-09-14 00:00:00",55660.7
"2021-09-15 00:00:00",29738.13
"2021-09-16 00:00:00",44639.82
"2021-09-17 00:00:00",46875.87
"2021-09-18 00:00:00",75341.66
"2021-09-19 00:00:00",22095.73
"2021-09-20 00:00:00",17681.69
"2021-09-21 00:00:00",22973.05
"2021-09-22 00:00:00",44661.36
"2021-09-23 00:00:00",33374.22
"2021-09-24 00:00:00",30553.38
"2021-09-25 00:00:00",44728.19
"2021-09-26 00:00:00",56206.68
"2021-09-27 00:00:00",74003.03
"2021-09-28 00:00:00",41409.42
"2021-09-29 00:00:00",75703.49
"2021-09-30 00:00:00",45651.94
"2021-10-01 00:00:00",60967.31
"2021-10-02 00:00:00",47321.33
"2021-10-03 00:00:00",75790.67
"2021-10-04 00:00:00",75192.9
"2021-10-05 00:00:00",44225.1
"2021-10-06 00:00:00",44670.86
"2021-10-07 00:00:00",15620.2
"2021-10-08 00:00:00",42800.46
"2021-10-09 00:00:00",45652.78
"2021-10-10 00:00:00",6622.26
"2021-10-11 00:00:00",11502.87
"2021-10-12 00:00:00",6549.36
"2021-10-13 00:00:00",25523.6
"2021-10-14 00:00:00",18690.9
"2021-10-15 00:00:00",9074.55
"2021-10-16 00:00:00",9381.53
"2021-10-17 00:00:00",11701.28
"2021-10-18 00:00:00",12405.57
"2021-10-19 00:00:00",63096.52
"2021-10-20 00:00:00",9429.98
"2021-10-21 00:00:00",15794.97
"2021-10-22 00:00:00",18314.95
"2021-10-23 00:00:00",15638.31
"2021-10-24 00:00:00",11871.04
"2021-10-25 00:00:00",10236.99
"2021-10-26 00:00:00",12863.22
"2021-10-27 00:00:00",9013.16
"2021-10-28 00:00:00",14264.67
"2021-10-29 00:00:00",30752.1
"2021-10-30 00:00:00",2160.2
"2021-10-31 00:00:00",8707.37
"2021-11-01 00:00:00",12797.47
"2021-11-02 00:00:00",9756.26
"2021-11-03 00:00:00",33886.36
"2021-11-04 00:00:00",10226.86
"2021-11-05 00:00:00",26452.76
"2021-11-06 00:00:00",17411.34
"2021-11-07 00:00:00",5909.43
"2021-11-08 00:00:00",13317.93
"2021-11-09 00:00:00",35398.24
"2021-11-10 00:00:00",19381.14
"2021-11-11 00:00:00",8825.82
"2021-11-12 00:00:00",27634.73
"2021-11-13 00:00:00",16658.69
"2021-11-14 00:00:00",127230.02
"2021-11-15 00:00:00",79196.93
"2021-11-16 00:00:00",23743.67
"2021-11-17 00:00:00",31602.98
"2021-11-18 00:00:00",16053.33
"2021-11-19 00:00:00",38319.63
"2021-11-20 00:00:00",28121.57
"2021-11-21 00:00:00",17171.66
"2021-11-22 00:00:00",13869.67
"2021-11-23 00:00:00",19591.29
"2021-11-24 00:00:00",26993.02
"2021-11-25 00:00:00",20496.63
"2021-11-26 00:00:00",24187.53
"2021-11-27 00:00:00",25788.99
"2021-11-28 00:00:00",19880.22
"2021-11-29 00:00:00",8759.03
"2021-11-30 00:00:00",28640.15
"2021-12-01 00:00:00",15673.58
"2021-12-02 00:00:00",38724.56
"2021-12-03 00:00:00",18267.59
"2021-12-04 00:00:00",24951.4
"2021-12-05 00:00:00",41411.15
"2021-12-06 00:00:00",3115.84
"2021-12-07 00:00:00",35461.97
"2021-12-08 00:00:00",43705.03
"2021-12-09 00:00:00",54795.04
"2021-12-10 00:00:00",44605.09
"2021-12-11 00:00:00",13634.36
"2021-12-12 00:00:00",12055.99
"2021-12-13 00:00:00",28893.25
"2021-12-14 00:00:00",7240.75
"2021-12-15 00:00:00",10837.26
"2021-12-17 00:00:00",16324.31
"2021-12-18 00:00:00",120425.21
"2021-12-19 00:00:00",64771.53
"2021-12-20 00:00:00",113614.12
"2021-12-21 00:00:00",54720.32
"2021-12-22 00:00:00",6533.61
"2021-12-23 00:00:00",17329.21
"2021-12-24 00:00:00",38869.26
"2021-12-25 00:00:00",88885.39
"2021-12-26 00:00:00",76125.44
"2021-12-27 00:00:00",145393.55
"2021-12-28 00:00:00",405320.51
"2021-12-29 00:00:00",157167.06
"2021-12-30 00:00:00",71520.28
"2021-12-31 00:00:00",172859.32
"2022-01-01 00:00:00",181945.75
"2022-01-02 00:00:00",160094.13
"2022-01-03 00:00:00",52558.34
"2022-01-04 00:00:00",26328.24
"2022-01-05 00:00:00",61059.67
"2022-01-06 00:00:00",50394.61
"2022-01-07 00:00:00",48261.05
"2022-01-08 00:00:00",31408.98
"2022-01-09 00:00:00",51024.29
"2022-01-10 00:00:00",36368.46
"2022-01-11 00:00:00",28387.97
"2022-01-12 00:00:00",26075.2
"2022-01-13 00:00:00",21180.48
"2022-01-14 00:00:00",40819.93
"2022-01-15 00:00:00",27984.04
"2022-01-16 00:00:00",17450.51
"2022-01-17 00:00:00",30650.91
"2022-01-18 00:00:00",25348.59
"2022-01-19 00:00:00",16283.78
"2022-01-20 00:00:00",54342.06
"2022-01-21 00:00:00",40099.07
"2022-01-22 00:00:00",15076.31
"2022-01-23 00:00:00",33662.36
"2022-01-24 00:00:00",17989.98
"2022-01-25 00:00:00",32019.1
"2022-01-26 00:00:00",37132.44
"2022-01-27 00:00:00",32222.35
"2022-01-28 00:00:00",80628.33
"2022-01-29 00:00:00",184863.96
"2022-01-30 00:00:00",132233.46
"2022-01-31 00:00:00",107290.64
"2022-02-01 00:00:00",78447.82
"2022-02-02 00:00:00",20263.97
"2022-02-03 00:00:00",33034.98
"2022-02-04 00:00:00",74617.57
"2022-02-05 00:00:00",4227.27
"2022-02-06 00:00:00",21676.7
"2022-02-07 00:00:00",18179.53
"2022-02-08 00:00:00",28424.92
"2022-02-12 00:00:00",41417.92
"2022-02-13 00:00:00",11329
"2022-02-14 00:00:00",9782.82
"2022-02-15 00:00:00",22062.54
"2022-02-16 00:00:00",24504.08
"2022-02-17 00:00:00",11218.55
"2022-02-18 00:00:00",14669.21
"2022-02-19 00:00:00",7934.03
"2022-02-21 00:00:00",22150.37
"2022-02-22 00:00:00",21202.52
"2022-02-23 00:00:00",6088.61
"2022-02-24 00:00:00",11389.01
"2022-02-25 00:00:00",10815.95
"2022-02-26 00:00:00",20755.54
"2022-02-27 00:00:00",21607.94
"2022-02-28 00:00:00",36584.52
"2022-03-01 00:00:00",40734.2